name,year,miles,color,condition,price
Toyota Corolla,2020,"36,549 miles","White exterior, Black interior","No accidents reported, 1 Owner","$19,591"
Chevrolet Malibu,2021,"33,251 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$19,250"
Toyota Tacoma,2021,"19,950 miles","Green exterior, Gray interior","No accidents reported, 1 Owner","$33,333"
Ford Escape,2019,"10,838 miles","Gray exterior, Black interior","No accidents reported, 2 Owners","$20,445"
Ford F-150,2021,"66,206 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$36,475"
Ford Expedition,2020,"88,416 miles","Silver exterior, Black interior","No accidents reported, 3 Owners","$33,998"
Audi Q5,2022,"5,030 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$37,405"
Jeep Compass,2021,"45,700 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$21,700"
Nissan Sentra,2017,"73,181 miles","White exterior, Black interior","No accidents reported, 1 Owner","$10,797"
Nissan Rogue,2021,"10,868 miles","Red exterior, Black interior","No accidents reported, 1 Owner","$23,991"
Chevrolet Camaro,2014,"114,516 miles","Gray exterior, Black interior","No accidents reported, 4 Owners","$11,999"
Audi Q3,2021,"62,112 miles","White exterior, Black interior","No accidents reported, 1 Owner","$21,699"
Mercedes-Benz C-Class,2020,"15,698 miles","Black exterior, Beige interior","No accidents reported, 1 Owner","$30,006"
Honda Civic,2021,"25,387 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner","$19,649"
Honda CR-V,2020,"35,038 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$27,906"
Mercedes-Benz Sprinter Passenger Van,2022,43 miles,"Black exterior, Black interior","No accidents reported, 1 Owner","$83,993"
INFINITI Q60,2014,"77,173 miles","White exterior, Gray interior","No accidents reported, 3 Owners","$17,998"
Toyota Corolla,2021,"60,518 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$16,000"
Jaguar F-PACE,2020,"33,202 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$34,998"
Chevrolet Suburban,2022,"63,673 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$52,400"
Honda Accord,2014,"130,330 miles","Black exterior, Beige interior","2 accidents reported, 2 Owners","$10,299"
Chevrolet Silverado 1500,2020,"67,465 miles","White exterior, Black interior","1 accident reported, 1 Owner","$31,998"
Toyota Tundra,2014,"57,738 miles","Black exterior, Brown interior","2 accidents reported, 3 Owners","$33,998"
Ford Escape,2020,"59,773 miles","Black exterior, Black interior","2 accidents reported, 1 Owner","$15,994"
Mercedes-Benz C-Class,2023,"5,761 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$54,991"
Dodge Challenger,2021,"25,643 miles","White exterior, Black interior","No accidents reported, 1 Owner","$21,959"
Subaru Outback,2020,"69,006 miles","White exterior, Brown interior","No accidents reported, 2 Owners","$24,323"
Toyota RAV4,2021,"19,768 miles","Black exterior, Gray interior","No accidents reported, 1 Owner","$35,999"
Jeep Cherokee,2019,"62,675 miles","Red exterior, Black interior","1 accident reported, 3 Owners","$17,777"
Nissan Versa,2021,"51,155 miles","White exterior, Gray interior","No accidents reported, 2 Owners","$15,857"
BMW 4 Series,2021,"11,709 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$35,999"
Nissan Altima,2020,"40,172 miles","White exterior, Black interior","No accidents reported, 1 Owner","$21,991"
Lexus UX,2022,"12,642 miles","Red exterior, Black interior","No accidents reported, 1 Owner","$29,333"
Nissan Altima,2019,"50,720 miles","Black exterior, Black interior","1 accident reported, 2 Owners","$23,998"
Audi Q8,2023,"4,320 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$68,796"
Jeep Wrangler,2019,"47,368 miles","Black exterior, Black interior","No accidents reported, 3 Owners","$34,998"
Volkswagen Tiguan,2020,"28,897 miles","White exterior, Black interior","1 accident reported, 1 Owner","$20,998"
BMW 5 Series,2023,"6,776 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$69,999"
Cadillac XT4,2021,"14,617 miles","White exterior, Black interior","No accidents reported, 1 Owner","$31,995"
Honda Civic,2021,"20,684 miles","White exterior, Black interior","No accidents reported, 1 Owner","$22,500"
Mercedes-Benz GLC,2021,"13,279 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$32,495"
Mercedes-Benz CLS,2014,"21,037 miles","Blue exterior, Unknown interior","No accidents reported, 3 Owners","$30,998"
Mitsubishi Outlander,2019,"72,455 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$17,998"
Nissan Altima,2020,"45,891 miles","Gray exterior, Black interior","No accidents reported, 2 Owners","$17,998"
Kia Forte,2021,"52,646 miles","Red exterior, Black interior","No accidents reported, 1 Owner","$16,991"
Nissan Sentra,2020,"95,604 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$13,988"
Kia Forte,2020,"96,157 miles","Gray exterior, Black interior","No accidents reported, 3 Owners","$10,995"
Nissan Sentra,2017,"93,195 miles","Silver exterior, Black interior","No accidents reported, 2 Owners","$9,792"
Mercedes-Benz C-Class,2023,"7,663 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$39,777"
Mercedes-Benz S-Class,2015,"54,555 miles","Blue exterior, Gray interior","1 accident reported, 3 Owners","$33,998"
Audi TTS,2017,"61,801 miles","Black exterior, Red interior","No accidents reported, 2 Owners","$28,888"
Honda Accord,2014,"54,424 miles","Tan exterior, Beige interior","No accidents reported, 3 Owners","$17,498"
Audi Q3,2021,"52,381 miles","White exterior, Black interior","No accidents reported, 1 Owner","$22,399"
Mitsubishi Outlander Sport,2020,"53,961 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$15,999"
Toyota Prius Prime,2018,"54,061 miles","Gray exterior, Black interior","1 accident reported, 1 Owner","$23,998"
Toyota Camry,2022,"43,959 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$24,400"
Jeep Wrangler,2021,"49,638 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$28,998"
Ford Mustang,2015,"107,676 miles","Orange exterior, Black interior","No accidents reported, 2 Owners","$14,300"
Land Rover Range Rover Velar,2018,"67,236 miles","Gray exterior, Black interior","No accidents reported, 2 Owners","$26,995"
Toyota GR Corolla,2023,"1,789 miles","White exterior, Black interior","No accidents reported, 1 Owner","$46,998"
Jeep Wrangler,2016,"82,472 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$23,998"
Toyota Corolla,2021,"64,916 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$18,694"
Mazda CX-5,2019,"33,975 miles","White exterior, Beige interior","No accidents reported, 2 Owners","$23,998"
Honda Civic,2016,"46,806 miles","Black exterior, Unknown interior","No accidents reported, 1 Owner","$18,995"
Honda Odyssey,2014,"112,998 miles","Gray exterior, Gray interior","1 accident reported, 2 Owners","$15,998"
Honda Fit,2015,"84,457 miles","Red exterior, Black interior","1 accident reported, 2 Owners","$14,998"
Mercedes-Benz A-Class,2020,"23,107 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$26,510"
Acura RDX,2015,"49,279 miles","Red exterior, Black interior","No accidents reported, 2 Owners","$17,489"
Ford Ranger,2020,"33,074 miles","White exterior, Black interior","No accidents reported, 1 Owner","$31,998"
Maserati GranTurismo,2014,"52,973 miles","Black exterior, Beige interior","No accidents reported, 2 Owners","$39,999"
Audi A5,2023,"4,263 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$40,551"
Hyundai Santa Fe,2023,"6,659 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$32,998"
Chevrolet Colorado,2018,"69,981 miles","Gray exterior, Black interior","1 accident reported, 2 Owners","$21,998"
Porsche Macan,2023,"4,309 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$52,881"
Hyundai Genesis,2016,"58,912 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner","$18,998"
Acura ILX,2021,"22,646 miles","White exterior, Unknown interior","No accidents reported, 2 Owners","$23,500"
Chrysler 300,2017,"89,970 miles","White exterior, Beige interior","1 accident reported, 3 Owners","$13,999"
Toyota Corolla,2021,"64,006 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$18,985"
Mercedes-Benz GL,2011,"88,997 miles","Black exterior, Black interior","No accidents reported, 3 Owners","$10,988"
GMC Sierra 1500,2017,"79,434 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$26,987"
Ford F-150,2020,"39,696 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$58,975"
Hyundai Santa Fe Sport,2014,"83,307 miles","Silver exterior, Gray interior","1 accident reported, 1 Owner","$12,498"
Nissan Rogue,2023,"12,912 miles","White exterior, Black interior","No accidents reported, 1 Owner","$23,988"
Mercedes-Benz E-Class,2022,"11,988 miles","Red exterior, Beige interior","No accidents reported, 1 Owner","$43,563"
Mercedes-Benz GLB,2023,"9,015 miles","Red exterior, Gray interior","No accidents reported, 1 Owner","$42,558"
Ford Super Duty F-250,2015,"103,609 miles","Gray exterior, Black interior","No accidents reported, 4 Owners","$31,995"
Nissan Rogue,2016,"40,259 miles","Gray exterior, Black interior","1 accident reported, 2 Owners","$17,998"
Ford Transit Cargo Van,2017,"87,809 miles","White exterior, Gray interior","1 accident reported, 1 Owner","$20,999"
Lexus NX,2022,"14,516 miles","White exterior, Red interior","No accidents reported, 1 Owner","$42,991"
Subaru Outback,2021,"32,683 miles","Green exterior, Beige interior","No accidents reported, 1 Owner","$28,399"
Land Rover Range Rover,2017,"50,240 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$69,991"
Ford F-150,2021,"41,032 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$35,998"
Toyota C-HR,2019,"70,631 miles","Gray exterior, Black interior","1 accident reported, 2 Owners","$16,220"
Chevrolet Silverado 1500,2014,"98,094 miles","Silver exterior, Black interior","1 accident reported, 5 Owners","$19,876"
Subaru Outback,2023,"5,618 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$37,500"
Chevrolet Malibu,2022,"31,864 miles","Black exterior, Black interior","1 accident reported, 1 Owner","$20,998"
BMW X3,2020,"66,846 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$20,996"
Mercedes-Benz GLC,2019,"39,358 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$26,986"
Toyota Prius,2012,"198,438 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner","$8,395"
Honda CR-V,2019,"27,490 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$24,063"
BMW X1,2021,"37,595 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$23,997"
Honda CR-V,2021,"43,092 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner","$23,518"
Kia Forte,2021,"17,253 miles","White exterior, Black interior","No accidents reported, 1 Owner","$17,631"
Ford Explorer,2020,"41,568 miles","White exterior, Beige interior","No accidents reported, 1 Owner","$30,998"
Mercedes-Benz GLE,2017,"60,253 miles","Unknown exterior, Unknown interior","No accidents reported, 1 Owner","$38,595"
Toyota Corolla,2021,"74,700 miles","White exterior, Black interior","No accidents reported, 2 Owners","$16,642"
Kia K5,2021,"38,512 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$25,998"
Chevrolet Colorado,2016,"93,420 miles","Black exterior, Black interior","1 accident reported, 2 Owners","$18,991"
Kia Soul,2020,"64,638 miles","White exterior, Black interior","No accidents reported, 2 Owners","$20,998"
Honda Civic,2020,"8,506 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$22,597"
Ford Fusion,2020,"42,121 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$16,308"
Chevrolet Tahoe,2018,"33,118 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$36,295"
Chevrolet Cruze Limited,2016,"86,047 miles","White exterior, Black interior","No accidents reported, 2 Owners","$12,998"
Nissan Sentra,2021,"35,750 miles","Gray exterior, Black interior","2 accidents reported, 1 Owner","$16,999"
Kia Forte,2022,"39,844 miles","White exterior, Black interior","No accidents reported, 1 Owner","$15,199"
Lexus RX,2020,"25,363 miles","White exterior, Black interior","No accidents reported, 1 Owner","$35,200"
Honda Civic,2020,"46,571 miles","Red exterior, Black interior","No accidents reported, 2 Owners","$17,495"
Jeep Compass,2019,"84,793 miles","Black exterior, Black interior","1 accident reported, 3 Owners","$17,998"
Ford Mustang,2017,"15,404 miles","Red exterior, Black interior","No accidents reported, 3 Owners","$28,499"
Mercedes-Benz C-Class,2020,"26,488 miles","Blue exterior, Beige interior","No accidents reported, 2 Owners","$24,990"
Toyota Corolla,2020,"29,126 miles","White exterior, Black interior","1 accident reported, 2 Owners","$19,497"
Honda Odyssey,2021,"20,336 miles","Silver exterior, Gray interior","1 accident reported, 1 Owner","$35,448"
Toyota Prius,2015,"78,823 miles","Gray exterior, Gray interior","No accidents reported, 2 Owners","$17,998"
Land Rover Range Rover Sport,2013,"124,544 miles","Silver exterior, Black interior","No accidents reported, 3 Owners","$11,995"
Ford F-150,2021,"53,667 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$35,998"
Land Rover Range Rover Sport,2009,"97,702 miles","Purple exterior, Unknown interior","No accidents reported, 0 Owners","$9,995"
Nissan Sentra,2019,"37,152 miles","White exterior, Black interior","No accidents reported, 1 Owner","$13,799"
Toyota RAV4,2021,"24,639 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$27,998"
BMW X3,2020,"61,144 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$22,100"
Honda Civic,2012,"92,964 miles","Red exterior, Gray interior","2 accidents reported, 3 Owners","$9,500"
Kia Forte,2022,"41,406 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$15,988"
BMW 3 Series,2020,"83,353 miles","Red exterior, Beige interior","No accidents reported, 2 Owners","$19,999"
Acura RDX,2021,"44,809 miles","White exterior, Black interior","No accidents reported, 1 Owner","$28,250"
Chevrolet Blazer,2020,"23,724 miles","Gray exterior, Black interior","1 accident reported, 1 Owner","$24,998"
Honda Civic,2020,"8,181 miles","White exterior, Unknown interior","No accidents reported, 1 Owner","$19,995"
Mercedes-Benz C-Class,2020,"30,791 miles","Silver exterior, Gray interior","1 accident reported, 1 Owner","$24,791"
Honda Civic,2020,"36,732 miles","Gray exterior, Unknown interior","No accidents reported, 2 Owners","$21,721"
Toyota Corolla,2020,"39,731 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$19,994"
Toyota C-HR,2019,"40,322 miles","Gray exterior, Black interior","No accidents reported, 2 Owners","$18,795"
Ram 1500 Classic,2019,"39,860 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$28,998"
